Hard,104269,L,188,32.1368925394,49,900,104291,,31.9561943874,103,3,R32,116,0,77,56,42,11,0
Hard,34.0533880903,68,3,R32,119,2,84,53,35,14,104665,R,180,29.9466119097,64,770,103893,,1
Hard,104919,R,188,28.6406570842,35,1150,103794,,34.5516769336,97,3,R32,64,4,57,36,29,9,0
Hard,104607,R,196,30.2970568104,6,4620,104660,,29.993155373,62,3,R32,77,2,61,30,26,17,0
Hard,106378,R,,20.9883641342,102,568,105373,,26.4832306639,43,3,R32,70,1,49,28,22,11,0
Hard,103926,L,,33.9301848049,75,681,103852,5,34.288843258,17,3,R32,145,2,102,70,53,19,0
Hard,103908,R,185,33.9767282683,95,604,105077,,27.9644079398,54,3,R32,165,7,111,72,52,18,0
Hard,30.2395619439,58,3,R32,118,3,77,48,36,17,104559,R,188,30.6173853525,50,863,104620,,1
Hard,105011,R,185,28.3230663929,94,605,103970,4,33.7577002053,7,3,R32,137,4,102,61,47,22,0
Hard,105138,R,,27.742642026,25,1480,106058,,23.2963723477,26,3,F,28,2,21,15,14,2,0
Hard,106058,R,185,23.2963723477,26,1465,103970,1,33.7768651608,8,3,SF,79,1,67,34,28,19,0
Hard,105138,R,,27.742642026,25,1480,104542,2,30.7351129363,10,3,SF,136,5,109,65,49,23,0
Hard,106058,R,185,23.2963723477,26,1465,104731,4,29.6509240246,12,3,QF,98,4,76,44,36,18,0
Hard,105138,R,,27.742642026,25,1480,104545,3,30.7104722793,11,3,QF,101,5,92,56,44,14,0
Hard,104542,R,188,30.7351129363,10,2635,104926,6,28.6351813826,21,3,QF,102,3,75,45,38,17,0
Hard,103970,R,175,33.7768651608,8,4055,105881,,24.0657084189,299,3,R16,65,0,47,26,23,13,0
Hard,26.6776180698,18,3,R16,79,2,72,39,29,20,104586,R,196,30.4668035592,54,802,105332,5,1
Hard,28.7665982204,64,3,R16,106,3,85,45,35,22,104731,R,203,29.6509240246,12,2475,104898,,1
Hard,106058,R,185,23.2963723477,26,1465,105577,,25.5523613963,39,3,R16,75,3,51,27,25,13,0
Hard,105138,R,,27.742642026,25,1480,105385,,26.46954141,46,3,R16,86,2,73,51,38,15,0
Hard,27.3100616016,100,3,R16,47,1,38,23,20,8,104926,R,178,28.6351813826,21,1515,105217,,1
Hard,104542,R,188,30.7351129363,10,2635,104259,,32.2381930185,34,3,R16,66,1,56,41,31,11,0
Hard,104586,R,196,30.4668035592,54,802,104198,,32.605065024,27,3,R32,91,2,75,46,34,19,0
Hard,28.2381930185,679,3,R32,86,6,93,42,35,27,105332,R,196,26.6776180698,18,1703,105030,,1
Hard,29.9657768652,59,3,R32,67,2,62,39,33,10,104898,R,190,28.7665982204,64,750,104665,,1
Hard,36.8678986995,23,3,R32,87,0,65,48,38,14,105577,R,193,25.5523613963,39,1075,103333,7,1
Hard,105138,R,,27.742642026,25,1480,106210,,22.5051334702,42,3,R32,76,0,67,40,30,17,0
Hard,105385,L,183,26.46954141,46,907,110686,,25.2895277207,365,3,R32,66,3,60,33,21,15,0
Hard,105023,R,198,28.2628336756,60,785,105379,,26.4832306639,49,3,R32,115,3,91,53,49,18,0
Hard,104926,R,178,28.6351813826,21,1515,105311,,26.7843942505,33,3,R32,115,8,110,56,38,20,0
Hard,27.9835728953,55,3,R32,66,0,45,30,29,11,105217,R,193,27.3100616016,100,582,105077,,1
Hard,34.5708418891,98,3,R32,84,5,72,38,32,20,104259,R,178,32.2381930185,34,1185,103794,,1
Hard,104678,R,193,29.916495551,22,1487,104559,,30.636550308,50,3,SF,124,0,89,59,40,16,0
Hard,105777,R,188,24.6570841889,28,1315,104180,,32.6762491444,38,3,SF,105,0,62,43,35,14,0
Hard,23.2224503765,17,3,QF,49,2,41,19,16,11,104559,R,188,30.636550308,50,863,106071,1,1
Hard,33.9712525667,71,3,QF,105,3,80,53,37,17,104678,R,193,29.916495551,22,1487,103917,,1
Hard,105777,R,188,24.6570841889,28,1315,105238,8,27.1759069131,36,3,QF,134,3,92,60,47,17,0
Hard,28.9117043121,31,3,QF,1146,5,59,35,32,13,104180,L,193,32.6762491444,38,1105,104871,6,1
Hard,104559,R,188,30.636550308,50,863,105643,,25.2676249144,52,3,R16,75,0,55,35,28,12,0
Hard,104678,R,193,29.916495551,22,1487,103990,,33.697467488,43,3,R16,61,4,46,26,24,11,0
Hard,31.8877481177,29,3,R16,89,1,65,34,27,13,103917,R,190,33.9712525667,71,710,104312,5,1
Hard,105238,R,180,27.1759069131,36,1135,105512,,25.7741273101,195,3,R16,78,1,59,38,32,11,0
Hard,104180,L,193,32.6762491444,38,1105,106233,2,22.3545516769,20,3,R16,58,1,49,32,27,10,0
Hard,111442,R,,21.7275838467,149,402,105373,,26.5023956194,45,3,R32,57,1,32,18,15,9,0
Hard,105643,L,190,25.2676249144,52,815,105032,,28.2299794661,66,3,R32,102,2,74,40,30,23,0
