Hard,R,175,22.1026694045,38,945,R,190,24.34770705,1,4195,1
Hard,R,183,28.076659822,202,188,L,193,27.3593429158,65,625,1
Hard,L,175,24.0355920602,48,780,L,180,32.1533196441,112,364,0
Hard,R,183,22.0314852841,99,412,R,183,25.1115674196,185,208,1
Hard,R,185,24.7857631759,46,840,R,190,25.5742642026,74,552,0
Hard,R,185,19.4387405886,29,1080,R,185,21.9274469541,61,670,0
Hard,R,168,19.9917864476,70,582,R,175,22.4065708419,81,518,1
Hard,R,173,23.0800821355,18,1360,R,180,18.7104722793,111,366,0
Hard,R,185,29.3360711841,13,1770,R,185,27.6468172485,55,725,0
Hard,L,180,19.9041752225,52,760,R,185,26.4449007529,114,356,0
Hard,R,193,26.3764544832,59,690,R,190,18.984257358,388,64,0
Hard,R,185,21.5906913073,110,372,R,201,24.1971252567,84,500,1
Hard,R,183,23.5318275154,22,1215,R,170,27.1704312115,107,387,0
Hard,R,188,24.629705681,4,3055,L,180,29.7275838467,119,333,0
Hard,R,183,20.4654346338,116,343,R,175,19.0061601643,79,526,1
Hard,R,178,24.0164271047,97,430,R,190,27.5893223819,50,761,1
Hard,L,180,35.5811088296,43,864,R,185,30.8610540726,249,138,0
Hard,R,180,25.8151950719,34,980,R,193,26.0944558522,152,254,0
Hard,L,183,30.7570157426,106,391,R,193,24.3531827515,27,1103,0
Hard,R,183,22.7405886379,85,500,L,183,25.401779603,14,1598,1
Hard,R,180,24.7255304586,58,700,R,188,22.173853525,250,138,0
Hard,R,180,27.6194387406,95,433,R,,22.7871321013,269,122,0
Hard,L,175,25.0568104038,23,1160,R,190,24.386036961,42,870,1
Hard,L,183,25.3689253936,104,393,R,201,30.1902806297,30,1065,1
Hard,R,188,22.7871321013,20,1245,R,183,21.2676249144,66,601,0
Hard,R,183,28.8158795346,41,895,R,180,19.8904859685,7,2560,1
Hard,R,180,30.7159479808,6,2765,R,185,22.7296372348,78,532,0
Hard,R,178,24.4490075291,80,522,R,173,28.076659822,91,451,0
Hard,R,188,29.9986310746,83,504,R,185,27.8548939083,39,945,1
Hard,R,183,18.559890486,113,357,R,173,24.514715948,115,345,0
Hard,R,183,22.8802190281,62,655,R,178,29.7905544148,179,219,0
Hard,R,180,24.7446954141,49,775,R,196,22.6940451745,130,302,0
Hard,R,188,31.5865845311,17,1485,R,188,28.3915126626,71,581,0
Hard,R,188,27.1676933607,51,760,R,183,30.4229979466,72,577,1
Hard,R,175,31.2772073922,35,970,R,198,30.5242984257,54,730,1
Hard,R,190,21.3798767967,64,632,R,175,24.3203285421,159,244,0
Hard,L,175,27.241615332,28,1095,R,185,26.3600273785,10,2020,1
Hard,R,180,25.0349075975,87,484,R,188,24.424366872,24,1130,1
Hard,R,188,24.9062286105,234,149,R,193,29.3442847365,31,1055,0
Hard,R,185,22.7597535934,96,433,R,185,21.7768651608,94,441,1
Hard,R,196,23.5290896646,45,845,R,175,24.8323066393,484,44,0
Hard,R,178,19.6221765914,133,292,R,190,23.9917864476,279,116,0
Hard,L,178,26.6146475017,253,136,R,185,28.0492813142,15,1535,1
Hard,L,183,32.2272416153,40,900,R,188,23.1567419576,93,447,0
Hard,R,170,22.0862422998,73,562,R,196,23.9698836413,98,420,0
Hard,R,185,23.6960985626,103,402,R,196,30.7186858316,86,497,0
Hard,R,175,21.4318959617,69,584,R,183,27.4633812457,102,407,0
Hard,R,173,22.7104722793,148,265,R,183,26.9678302533,26,1105,1
Hard,R,193,20.9691991786,2,4120,R,173,24.2710472279,117,342,0
Hard,R,190,24.34770705,1,4195,L,193,27.3593429158,65,625,1
Hard,R,185,24.7857631759,46,840,R,185,19.4387405886,29,1080,1
Hard,R,175,22.4065708419,81,518,R,173,23.0800821355,18,1360,1
Hard,R,185,29.3360711841,13,1770,R,190,26.7816563997,67,594,0
Hard,R,188,28.0355920602,68,590,R,201,24.1971252567,84,500,0
Hard,R,190,26.9075975359,5,2935,R,183,23.5318275154,22,1215,0
Hard,R,188,24.629705681,4,3055,R,178,28.1013004791,47,830,0
Hard,R,175,19.0061601643,79,526,R,190,27.5893223819,50,761,1
Hard,R,180,25.8151950719,34,980,L,180,35.5811088296,43,864,0
Hard,R,180,27.6194387406,95,433,R,180,24.7255304586,58,700,1
Hard,R,180,19.8904859685,7,2560,R,188,22.7871321013,20,1245,0
Hard,R,180,30.7159479808,6,2765,R,178,24.4490075291,80,522,0
Hard,R,185,27.8548939083,39,945,R,173,24.553045859,125,315,0
Hard,R,183,22.8802190281,62,655,R,183,18.559890486,113,357,1
Hard,R,183,20.9253935661,12,1840,R,180,24.7446954141,49,775,1
Hard,R,188,31.5865845311,17,1485,R,183,30.4229979466,72,577,0
Hard,R,198,30.5242984257,54,730,R,183,24.3367556468,63,638,0
Hard,R,190,21.3798767967,64,632,R,185,22.4476386037,60,677,0
Hard,L,190,29.8316221766,82,513,R,188,24.9062286105,234,149,0
Hard,R,185,21.7768651608,94,441,R,196,23.5290896646,45,845,0
Hard,R,185,28.0492813142,15,1535,R,178,19.6221765914,133,292,0
Hard,L,183,32.2272416153,40,900,R,183,23.0308008214,16,1510,1
Hard,R,185,23.6960985626,103,402,R,170,22.0862422998,73,562,1
Hard,R,175,21.4318959617,69,584,R,185,23.1403148528,228,154,0
Hard,L,193,27.3593429158,65,625,R,183,25.1115674196,185,208,0
Hard,R,185,29.3360711841,13,1770,L,180,19.9041752225,52,760,1
Hard,R,188,28.0355920602,68,590,R,190,26.9075975359,5,2935,1
Hard,R,190,27.5893223819,50,761,R,188,24.629705681,4,3055,1
